generation,algorithm,fitness_mode,fitness_priority,fitness_score,primary_fitness,weighted_error,missing_jackpot,jackpot_spins,jackpot_probability,missing_symbols,symbol_concentration,win_rate_shortfall,rtp_error,rtp,win_rate
1,GA baseline,weighted,rtp_error>win_rate_shortfall,"(2.6155092592592593,)",2.6155092592592593,2.6155092592592593,1,0,0.0,3,0.25925925925925924,0.419212962962963,0.5194444444444444,0.4305555555555556,0.13078703703703703
2,GA baseline,weighted,rtp_error>win_rate_shortfall,"(2.1305555555555555,)",2.1305555555555555,2.1305555555555555,1,0,0.0,4,0.35185185185185186,0.36944444444444446,0.2833333333333333,0.6666666666666666,0.18055555555555555
3,GA baseline,weighted,rtp_error>win_rate_shortfall,"(2.057638888888889,)",2.057638888888889,2.057638888888889,1,0,0.0,3,0.3101851851851852,0.37986111111111115,0.15833333333333333,0.7916666666666666,0.1701388888888889
4,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.6831018518518521,)",1.6831018518518521,1.6831018518518521,1,0,0.0,4,0.28703703703703703,0.3266203703703704,0.050000000000000044,1.0,0.22337962962962962
5,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.4145833333333335,)",1.4145833333333335,1.4145833333333335,0,3,0.001736111111111111,3,0.36111111111111116,0.25659722222222225,0.13159722222222237,1.0815972222222223,0.2934027777777778
6,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.4145833333333335,)",1.4145833333333335,1.4145833333333335,0,3,0.001736111111111111,3,0.36111111111111116,0.25659722222222225,0.13159722222222237,1.0815972222222223,0.2934027777777778
7,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.089814814814815,)",1.089814814814815,1.089814814814815,1,0,0.0,3,0.38425925925925924,0.11018518518518522,0.538888888888889,1.488888888888889,0.4398148148148148
8,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.089814814814815,)",1.089814814814815,1.089814814814815,1,0,0.0,3,0.38425925925925924,0.11018518518518522,0.538888888888889,1.488888888888889,0.4398148148148148
9,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.089814814814815,)",1.089814814814815,1.089814814814815,1,0,0.0,3,0.38425925925925924,0.11018518518518522,0.538888888888889,1.488888888888889,0.4398148148148148
10,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.089814814814815,)",1.089814814814815,1.089814814814815,1,0,0.0,3,0.38425925925925924,0.11018518518518522,0.538888888888889,1.488888888888889,0.4398148148148148
11,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.089814814814815,)",1.089814814814815,1.089814814814815,1,0,0.0,3,0.38425925925925924,0.11018518518518522,0.538888888888889,1.488888888888889,0.4398148148148148
12,GA baseline,weighted,rtp_error>win_rate_shortfall,"(1.089814814814815,)",1.089814814814815,1.089814814814815,1,0,0.0,3,0.38425925925925924,0.11018518518518522,0.538888888888889,1.488888888888889,0.4398148148148148
13,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.9666666666666668,)",0.9666666666666668,0.9666666666666668,1,0,0.0,4,0.46759259259259256,0.13333333333333336,0.30000000000000004,1.25,0.4166666666666667
14,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.9666666666666668,)",0.9666666666666668,0.9666666666666668,1,0,0.0,4,0.46759259259259256,0.13333333333333336,0.30000000000000004,1.25,0.4166666666666667
15,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.9666666666666668,)",0.9666666666666668,0.9666666666666668,1,0,0.0,4,0.46759259259259256,0.13333333333333336,0.30000000000000004,1.25,0.4166666666666667
16,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.9666666666666668,)",0.9666666666666668,0.9666666666666668,1,0,0.0,4,0.46759259259259256,0.13333333333333336,0.30000000000000004,1.25,0.4166666666666667
17,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.9666666666666668,)",0.9666666666666668,0.9666666666666668,1,0,0.0,4,0.46759259259259256,0.13333333333333336,0.30000000000000004,1.25,0.4166666666666667
18,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.9666666666666668,)",0.9666666666666668,0.9666666666666668,1,0,0.0,4,0.46759259259259256,0.13333333333333336,0.30000000000000004,1.25,0.4166666666666667
19,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7659722222222224,)",0.7659722222222224,0.7659722222222224,1,0,0.0,3,0.39351851851851855,0.14375000000000004,0.047222222222222165,0.9027777777777778,0.40625
20,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7659722222222224,)",0.7659722222222224,0.7659722222222224,1,0,0.0,3,0.39351851851851855,0.14375000000000004,0.047222222222222165,0.9027777777777778,0.40625
21,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7659722222222224,)",0.7659722222222224,0.7659722222222224,1,0,0.0,3,0.39351851851851855,0.14375000000000004,0.047222222222222165,0.9027777777777778,0.40625
22,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
23,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
24,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
25,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
26,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
27,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
28,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
29,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
30,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
31,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
32,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
33,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
34,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
35,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.7444444444444449,)",0.7444444444444449,0.7444444444444449,1,0,0.0,3,0.513888888888889,0.036111111111111205,0.5638888888888889,1.5138888888888888,0.5138888888888888
36,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.6967592592592597,)",0.6967592592592597,0.6967592592592597,1,0,0.0,3,0.41203703703703703,0.06851851851851859,0.35416666666666674,1.3041666666666667,0.48148148148148145
37,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.6967592592592597,)",0.6967592592592597,0.6967592592592597,1,0,0.0,3,0.41203703703703703,0.06851851851851859,0.35416666666666674,1.3041666666666667,0.48148148148148145
38,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.5428240740740743,)",0.5428240740740743,0.5428240740740743,1,0,0.0,3,0.41203703703703703,0.10439814814814818,0.02083333333333337,0.9708333333333333,0.44560185185185186
39,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.5428240740740743,)",0.5428240740740743,0.5428240740740743,1,0,0.0,3,0.41203703703703703,0.10439814814814818,0.02083333333333337,0.9708333333333333,0.44560185185185186
40,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.5428240740740743,)",0.5428240740740743,0.5428240740740743,1,0,0.0,3,0.41203703703703703,0.10439814814814818,0.02083333333333337,0.9708333333333333,0.44560185185185186
41,GA baseline,weighted,rtp_error>win_rate_shortfall,"(0.5428240740740743,)",0.5428240740740743,0.5428240740740743,1,0,0.0,3,0.41203703703703703,0.10439814814814818,0.02083333333333337,0.9708333333333333,0.44560185185185186
