generation,algorithm,fitness_mode,fitness_priority,fitness_score,primary_fitness,weighted_error,missing_jackpot,jackpot_spins,jackpot_probability,missing_symbols,symbol_concentration,win_rate_shortfall,rtp_error,rtp,win_rate
1,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(107.63913255360623,)",107.63913255360623,107.63913255360623,0,1,0.0005787037037037037,4,0.25,0.4626157407407408,0.6079861111111111,0.3420138888888889,0.08738425925925926
2,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(73.8501461988304,)",73.8501461988304,73.8501461988304,0,4,0.0023148148148148147,3,0.26851851851851855,0.39722222222222225,0.32847222222222217,0.6215277777777778,0.1527777777777778
3,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(56.3879142300195,)",56.3879142300195,56.3879142300195,0,4,0.0023148148148148147,4,0.3055555555555556,0.37175925925925934,0.16527777777777775,0.7847222222222222,0.17824074074074073
4,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(46.236842105263165,)",46.236842105263165,46.236842105263165,0,2,0.0011574074074074073,3,0.24537037037037038,0.3983796296296297,0.059953703703703676,0.8900462962962963,0.15162037037037038
5,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(38.10769980506823,)",38.10769980506823,38.10769980506823,1,0,0.0,3,0.3287037037037037,0.325462962962963,0.005555555555555536,0.9444444444444444,0.22453703703703703
6,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(35.596003898635466,)",35.596003898635466,35.596003898635466,0,2,0.0011574074074074073,2,0.2638888888888889,0.31851851851851853,0.026388888888888795,0.9236111111111112,0.23148148148148148
7,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(35.596003898635466,)",35.596003898635466,35.596003898635466,0,2,0.0011574074074074073,2,0.2638888888888889,0.31851851851851853,0.026388888888888795,0.9236111111111112,0.23148148148148148
8,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(35.596003898635466,)",35.596003898635466,35.596003898635466,0,2,0.0011574074074074073,2,0.2638888888888889,0.31851851851851853,0.026388888888888795,0.9236111111111112,0.23148148148148148
9,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
10,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
11,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
12,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
13,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
14,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
15,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
16,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
17,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
18,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(30.38194444444445,)",30.38194444444445,30.38194444444445,0,3,0.001736111111111111,3,0.29629629629629634,0.27048611111111115,0.007291666666666585,0.9427083333333334,0.2795138888888889
19,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
20,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
21,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
22,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
23,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
24,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
25,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
26,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
27,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
28,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
29,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
30,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
31,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
32,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
33,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
34,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
35,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.363060428849906,)",29.363060428849906,29.363060428849906,0,3,0.001736111111111111,2,0.2777777777777778,0.2589120370370371,0.018402777777777768,0.9315972222222222,0.29108796296296297
36,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.15716374269006,)",29.15716374269006,29.15716374269006,0,3,0.001736111111111111,3,0.3425925925925926,0.22881944444444446,0.021874999999999978,0.928125,0.3211805555555556
37,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.15716374269006,)",29.15716374269006,29.15716374269006,0,3,0.001736111111111111,3,0.3425925925925926,0.22881944444444446,0.021874999999999978,0.928125,0.3211805555555556
38,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.15716374269006,)",29.15716374269006,29.15716374269006,0,3,0.001736111111111111,3,0.3425925925925926,0.22881944444444446,0.021874999999999978,0.928125,0.3211805555555556
39,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(29.15716374269006,)",29.15716374269006,29.15716374269006,0,3,0.001736111111111111,3,0.3425925925925926,0.22881944444444446,0.021874999999999978,0.928125,0.3211805555555556
40,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(27.996101364522417,)",27.996101364522417,27.996101364522417,0,6,0.003472222222222222,3,0.3333333333333333,0.2155092592592593,0.027083333333333348,0.9770833333333333,0.33449074074074076
41,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
42,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
43,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
44,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
45,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
46,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
47,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
48,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(26.357212475633524,)",26.357212475633524,26.357212475633524,1,0,0.0,3,0.3333333333333333,0.19120370370370376,0.02499999999999991,0.925,0.3587962962962963
49,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
50,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
51,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
52,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
53,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
54,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
55,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
56,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
57,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
58,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
59,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
60,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
61,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
62,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
63,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
64,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
65,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
66,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
67,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
68,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(20.90765107212476,)",20.90765107212476,20.90765107212476,0,2,0.0011574074074074073,3,0.33796296296296297,0.15995370370370376,0.001099537037037135,0.9510995370370371,0.3900462962962963
69,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
70,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
71,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
72,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
73,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
74,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
75,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
76,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
77,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
78,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
79,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
80,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
81,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
82,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
83,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
84,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
85,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
86,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
87,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
88,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.983644005847964,)",19.983644005847964,19.983644005847964,0,3,0.001736111111111111,3,0.34722222222222227,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
89,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
90,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
91,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
92,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
93,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
94,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
95,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
96,GA weighted game design,weighted,weighted constraint violations>rtp_error>reel_symbol_concentration,"(19.632766812865505,)",19.632766812865505,19.632766812865505,0,3,0.001736111111111111,3,0.33796296296296297,0.13159722222222225,0.02560763888888895,0.9756076388888889,0.4184027777777778
