generation,algorithm,fitness_mode,fitness_priority,fitness_score,primary_fitness,weighted_error,missing_jackpot,jackpot_spins,jackpot_probability,symbol_concentration,win_rate_shortfall,rtp_error,rtp,win_rate
1,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(7.8888888888888795, 36.71296296296297, 1, 4.561403508771931)",50.16325536062378,50.16325536062378,1,0,0.0,0.3287037037037037,0.3671296296296297,0.0888888888888888,0.8611111111111112,0.18287037037037038
2,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(7.8888888888888795, 36.71296296296297, 1, 4.561403508771931)",50.16325536062378,50.16325536062378,1,0,0.0,0.3287037037037037,0.3671296296296297,0.0888888888888888,0.8611111111111112,0.18287037037037038
3,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(2.333333333333332, 39.72222222222222, 1, 3.684210526315788)",46.739766081871345,46.739766081871345,1,0,0.0,0.3055555555555555,0.39722222222222225,0.033333333333333326,0.9166666666666666,0.1527777777777778
4,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.8703703703703674, 36.01851851851852, 0, 2.280701754385966)",40.16959064327485,40.16959064327485,0,2,0.0011574074074074073,0.26851851851851855,0.3601851851851852,0.028703703703703676,0.9212962962962963,0.18981481481481483
5,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(4.06944444444446, 31.620370370370377, 0, 4.035087719298247)",39.724902534113085,39.724902534113085,0,4,0.0023148148148148147,0.3148148148148148,0.31620370370370376,0.0506944444444446,1.0006944444444446,0.2337962962962963
6,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.548611111111111, 31.44675925925926, 0, 4.561403508771931)",39.5567738791423,39.5567738791423,0,3,0.001736111111111111,0.3287037037037037,0.3144675925925926,0.045486111111111116,0.9045138888888888,0.2355324074074074
7,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.548611111111111, 31.44675925925926, 0, 4.561403508771931)",39.5567738791423,39.5567738791423,0,3,0.001736111111111111,0.3287037037037037,0.3144675925925926,0.045486111111111116,0.9045138888888888,0.2355324074074074
8,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(6.013888888888886, 25.833333333333336, 1, 2.982456140350877)",35.8296783625731,35.8296783625731,1,0,0.0,0.28703703703703703,0.25833333333333336,0.07013888888888886,0.8798611111111111,0.2916666666666667
9,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(1.2945601851851904, 26.12268518518519, 0, 5.263157894736843)",32.68040326510722,32.68040326510722,0,1,0.0005787037037037037,0.34722222222222227,0.2612268518518519,0.022945601851851904,0.9729456018518519,0.28877314814814814
10,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
11,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
12,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
13,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
14,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
15,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
16,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
17,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
18,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
19,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
20,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(3.537037037037039, 20.740740740740744, 0, 4.561403508771931)",28.839181286549714,28.839181286549714,0,8,0.004629629629629629,0.3287037037037037,0.20740740740740743,0.045370370370370394,0.9953703703703703,0.3425925925925926
21,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
22,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
23,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
24,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
25,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
26,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
27,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
28,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
29,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
30,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
31,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
32,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
33,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
34,NSGA-II,multi-objective,rtp_violation_penalty>win_rate_shortfall_penalty>missing_jackpot_penalty>symbol_concentration_penalty,"(0.6579861111111205, 21.43518518518519, 0, 4.561403508771931)",26.654574805068243,26.654574805068243,0,12,0.006944444444444444,0.3287037037037037,0.2143518518518519,0.016579861111111205,0.9665798611111112,0.33564814814814814
